
Books added      :  2837
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  6  minutes,  9  seconds.
         10984503 function calls (10890734 primitive calls) in 369.415 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   604150  256.665    0.000  256.665    0.000 {method 'recv' of '_socket.socket' objects}
     2837   24.580    0.009   24.580    0.009 {method 'decompress' of 'zlib.Decompress' objects}
     8570   10.867    0.001   10.867    0.001 {method 'read' of '_io.BufferedReader' objects}
   120830    6.029    0.000  263.777    0.002 network.py:167(recv_plain)
    60793    5.774    0.000    5.774    0.000 {method 'sendall' of '_socket.socket' objects}
     2837    5.346    0.002   20.633    0.007 sopdsparse.py:175(parse)
   234541    3.597    0.000    6.285    0.000 sopdsparse.py:164(char_data)
     5674    3.018    0.001    3.018    0.001 {built-in method crc32}
   296817    2.959    0.000    4.895    0.000 utils.py:31(intread)
   841556    2.312    0.000    2.313    0.000 {built-in method isinstance}
  1172705    2.210    0.000    2.235    0.000 sopdsparse.py:35(setvalue)
    26400    2.090    0.000    6.945    0.000 cursor.py:263(_process_params)
   478300    2.064    0.000    2.064    0.000 sopdsparse.py:19(tagopen)
    92823    1.781    0.000    3.177    0.000 sopdsparse.py:138(end_element)
    95660    1.744    0.000    3.925    0.000 sopdsparse.py:116(start_element)
   292862    1.696    0.000    6.505    0.000 utils.py:241(read_int)
1328429/1328358    1.360    0.000    1.360    0.000 {built-in method len}
    26401    1.346    0.000   51.550    0.002 cursor.py:363(execute)
    42377    1.230    0.000    5.146    0.000 protocol.py:131(parse_ok)
   464115    1.220    0.000    1.220    0.000 sopdsparse.py:30(tagclose)
    60791    1.203    0.000  269.200    0.004 connection.py:381(_send_cmd)
    18414    1.183    0.000    3.791    0.000 protocol.py:155(parse_column)
    26400    1.165    0.000    1.542    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   103168    1.100    0.000    1.281    0.000 utils.py:254(read_lc_int)
5671/2837    1.086    0.000  353.258    0.125 sopds-scan.py:91(processfile)
    34390    0.999    0.000   12.011    0.000 connection.py:492(_handle_result)
    60793    0.962    0.000    1.496    0.000 network.py:40(_prepare_packets)
    78335    0.944    0.000    2.124    0.000 conversion.py:126(to_mysql)
   234541    0.926    0.000    7.212    0.000 pyexpat.c:372(CharacterData)
   344116    0.908    0.000    0.908    0.000 {built-in method unpack}
    78335    0.874    0.000    1.589    0.000 conversion.py:82(escape)
    60793    0.750    0.000    8.020    0.000 network.py:93(send_plain)
    78335    0.696    0.000    1.142    0.000 conversion.py:110(quote)
   110484    0.601    0.000    0.601    0.000 utils.py:137(read_lc_string)
   182383    0.589    0.000    0.589    0.000 {built-in method pack}
    52801    0.514    0.000    0.612    0.000 cursor.py:194(_reset_result)
    79205    0.501    0.000    0.746    0.000 connection.py:432(_toggle_have_next_result)
    26401    0.477    0.000   12.543    0.000 connection.py:1147(cursor)
    95660    0.457    0.000    4.383    0.000 pyexpat.c:497(StartElement)
   234544    0.453    0.000    0.453    0.000 {built-in method repr}
    34390    0.438    0.000  274.555    0.008 connection.py:576(cmd_query)
    42377    0.428    0.000    6.003    0.000 connection.py:442(_handle_ok)
    36828    0.425    0.000    2.159    0.000 protocol.py:183(parse_eof)
    83812    0.400    0.000    0.400    0.000 {method 'format' of 'str' objects}
   300120    0.391    0.000    0.391    0.000 {method 'replace' of 'bytes' objects}
   112739    0.390    0.000    0.390    0.000 {method 'encode' of 'str' objects}
   100057    0.387    0.000    0.490    0.000 connection.py:1010(_set_unread_result)
   285308    0.382    0.000    0.382    0.000 {method 'lower' of 'str' objects}
    78335    0.377    0.000    0.377    0.000 cursor.py:45(__call__)
 89986/25    0.369    0.000    0.001    0.000 pyexpat.c:549(EndElement)
    26401    0.349    0.000    0.732    0.000 cursor.py:167(__init__)
    26401    0.346    0.000    5.316    0.000 cursor.py:323(_handle_result)
    18414    0.331    0.000    3.438    0.000 protocol.py:215(read_text_result)
    18414    0.311    0.000    4.730    0.000 cursor.py:750(_handle_resultset)
    60792    0.292    0.000    0.777    0.000 protocol.py:95(make_command)
