Извлечение обложек - отключено
В Индексе таблицы каталогов присутсвует 'path'


[root@dsgate py]# ../speed
books   books_min
2841    781.9266

Books added      :  2841
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  3  minutes,  38  seconds.
         9935229 function calls (9841414 primitive calls) in 218.704 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   519685  125.624    0.000  125.624    0.000 {method 'recv' of '_socket.socket' objects}
     2837   21.633    0.008   21.633    0.008 {method 'decompress' of 'zlib.Decompress' objects}
     8573   10.918    0.001   10.918    0.001 {method 'read' of '_io.BufferedReader' objects}
   103937    4.833    0.000  131.310    0.001 network.py:167(recv_plain)
     2839    4.718    0.002   17.028    0.006 sopdsparse.py:181(parse)
   234603    2.705    0.000    4.695    0.000 sopdsparse.py:171(char_data)
    55183    2.675    0.000    2.675    0.000 {method 'sendall' of '_socket.socket' objects}
     5674    2.649    0.000    2.649    0.000 {built-in method crc32}
   263091    2.342    0.000    3.928    0.000 utils.py:31(intread)
  1173015    1.930    0.000    1.990    0.000 sopdsparse.py:35(setvalue)
   751739    1.873    0.000    1.874    0.000 {built-in method isinstance}
    23592    1.727    0.000    5.604    0.000 cursor.py:263(_process_params)
   478500    1.717    0.000    1.717    0.000 sopdsparse.py:19(tagopen)
    92861    1.548    0.000    2.684    0.000 sopdsparse.py:140(end_element)
    95700    1.517    0.000    3.336    0.000 sopdsparse.py:118(start_element)
   259130    1.361    0.000    5.217    0.000 utils.py:241(read_int)
    23592    1.078    0.000   37.582    0.002 cursor.py:363(execute)
1170945/1170874    1.068    0.000    1.068    0.000 {built-in method len}
    39584    1.047    0.000    4.333    0.000 protocol.py:131(parse_ok)
   464305    0.975    0.000    0.975    0.000 sopdsparse.py:30(tagclose)
    23592    0.965    0.000    1.287    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    55181    0.941    0.000  133.838    0.002 connection.py:381(_send_cmd)
5677/2841    0.916    0.000  210.230    0.074 sopds-scan.py:91(processfile)
    15597    0.900    0.000    2.921    0.000 protocol.py:155(parse_column)
    94765    0.899    0.000    1.046    0.000 utils.py:254(read_lc_int)
    31589    0.772    0.000    9.573    0.000 connection.py:492(_handle_result)
   301924    0.756    0.000    0.756    0.000 {built-in method unpack}
    72755    0.756    0.000    1.709    0.000 conversion.py:126(to_mysql)
    55183    0.750    0.000    1.188    0.000 network.py:40(_prepare_packets)
   234603    0.734    0.000    5.429    0.000 pyexpat.c:372(CharacterData)
    72755    0.681    0.000    1.224    0.000 conversion.py:82(escape)
    55183    0.621    0.000    4.484    0.000 network.py:93(send_plain)
    72755    0.579    0.000    0.944    0.000 conversion.py:110(quote)
   165553    0.470    0.000    0.470    0.000 {built-in method pack}
    93582    0.466    0.000    0.466    0.000 utils.py:137(read_lc_string)
    95700    0.425    0.000    3.761    0.000 pyexpat.c:497(StartElement)
    47184    0.407    0.000    0.483    0.000 cursor.py:194(_reset_result)
    70778    0.407    0.000    0.589    0.000 connection.py:432(_toggle_have_next_result)
    23592    0.372    0.000    9.753    0.000 connection.py:1147(cursor)
    31589    0.354    0.000  138.360    0.004 connection.py:576(cmd_query)
    31194    0.344    0.000    1.667    0.000 protocol.py:183(parse_eof)
   279830    0.343    0.000    0.343    0.000 {method 'lower' of 'str' objects}
 90022/17    0.341    0.000    0.001    0.000 pyexpat.c:549(EndElement)
    39584    0.336    0.000    5.016    0.000 connection.py:442(_handle_ok)
   104358    0.324    0.000    0.324    0.000 {method 'encode' of 'str' objects}
    72755    0.321    0.000    0.321    0.000 cursor.py:45(__call__)
    75400    0.317    0.000    0.317    0.000 {method 'format' of 'str' objects}
   266472    0.297    0.000    0.297    0.000 {method 'replace' of 'bytes' objects}
    85980    0.294    0.000    0.376    0.000 connection.py:1010(_set_unread_result)
    23592    0.281    0.000    3.844    0.000 cursor.py:323(_handle_result)
    55182    0.242    0.000    0.610    0.000 protocol.py:95(make_command)
    23592    0.240    0.000    0.544    0.000 cursor.py:167(__init__)
    15597    0.238    0.000    2.441    0.000 protocol.py:215(read_text_result)
     2837    0.235    0.000   35.348    0.012 zipf.py:811(_read1)
    15597    0.212    0.000    2.843    0.000 connection.py:530(get_rows)
    55184    0.205    0.000    0.368    0.000 utils.py:48(int1store)
    15597    0.203    0.000    3.369    0.000 cursor.py:750(_handle_resultset)
    75239    0.203    0.000    0.203    0.000 {built-in method getattr}
     2841    0.193    0.000    0.193    0.000 {built-in method open}
    70778    0.182    0.000    0.182    0.000 constants.py:32(flag_is_set)
     5686    0.165    0.000    0.278    0.000 posixpath.py:340(normpath)
    23592    0.162    0.000    0.706    0.000 cursor.py:745(__init__)
    23592    0.162    0.000    8.578    0.000 connection.py:735(cmd_ping)
    23592    0.158    0.000    0.552    0.000 cursor.py:228(close)
    44412    0.158    0.000    0.277    0.000 conversion.py:139(_str_to_mysql)
    15597    0.156    0.000    0.247    0.000 cursor.py:625(_handle_eof)
     2837    0.149    0.000    0.772    0.000 zipf.py:1110(open)
    21273    0.148    0.000    0.208    0.000 {method 'decode' of 'bytes' objects}
    23592    0.146    0.000    0.202    0.000 cursor.py:187(_set_connection)
    23592    0.143    0.000    0.240    0.000 connection.py:931(charset)
   117963    0.142    0.000    0.142    0.000 connection.py:1022(_get_unread_result)
        1    0.141    0.141    0.291    0.291 zipf.py:960(_RealGetContents)
    15597    0.139    0.000    1.107    0.000 connection.py:459(_handle_eof)
     2841    0.136    0.000   56.382    0.020 sopdsdb.py:130(addbook)
   108289    0.133    0.000    0.133    0.000 {method 'append' of 'list' objects}
     5682    0.133    0.000   11.198    0.002 sopdsdb.py:94(findbook)
    15597    0.127    0.000    0.127    0.000 cursor.py:763(_fetch_row)
     2840    0.116    0.000    0.116    0.000 {method 'close' of '_io.BufferedReader' objects}
     2842    0.112    0.000    0.653    0.000 posixpath.py:452(relpath)
    15597    0.111    0.000    0.283    0.000 protocol.py:151(parse_column_count)
    23592    0.103    0.000    0.134    0.000 cursor.py:205(_have_unread_result)
     3534    0.102    0.000   60.548    0.017 sopdsdb.py:215(addbauthor)
    23592    0.102    0.000    0.102    0.000 cursor.py:67(__init__)
    23592    0.097    0.000    8.675    0.000 connection.py:765(is_connected)
     3534    0.096    0.000   11.339    0.003 sopdsdb.py:179(findauthor)
    23594    0.096    0.000    0.096    0.000 constants.py:675(get_info)
     5680    0.093    0.000    0.158    0.000 sopdsparse.py:106(reset)
       15    0.093    0.006    0.095    0.006 {built-in method load_dynamic}
    28343    0.092    0.000    0.092    0.000 conversion.py:130(_int_to_mysql)
     2837    0.090    0.000    0.140    0.000 zipf.py:639(__init__)
    23592    0.087    0.000    0.108    0.000 cursor.py:54(remaining)
    23592    0.083    0.000    0.083    0.000 cursor.py:41(__init__)
     3534    0.081    0.000    6.633    0.002 sopdsdb.py:192(findbauthor)
     1963    0.076    0.000    0.080    0.000 utils.py:189(read_lc_string_list)
    47184    0.076    0.000    0.076    0.000 cursor.py:760(reset)
     3534    0.070    0.000   39.656    0.011 sopdsdb.py:202(addauthor)
    15597    0.068    0.000    0.331    0.000 cursor.py:661(fetchone)
    15778    0.067    0.000    0.067    0.000 {method 'strip' of 'str' objects}
    28400    0.065    0.000    0.065    0.000 sopdsparse.py:14(reset)
     2841    0.062    0.000    6.279    0.002 sopdsdb.py:107(finddouble)
     6469    0.060    0.000    0.060    0.000 {built-in method charmap_decode}
    50230    0.058    0.000    0.058    0.000 sopdsparse.py:39(getvalue)
     7995    0.057    0.000    0.068    0.000 cursor.py:306(_handle_noresultset)
    23630    0.056    0.000    0.056    0.000 {built-in method proxy}
    11380    0.055    0.000    0.055    0.000 {method 'split' of 'str' objects}
     2837    0.051    0.000   10.760    0.004 zipf.py:847(_read2)
       41    0.048    0.001    0.048    0.001 {method 'read' of '_io.FileIO' objects}
     2837    0.044    0.000    0.188    0.000 zipf.py:861(close)
     2837    0.044    0.000   35.392    0.012 zipf.py:738(read)
     2841    0.043    0.000    0.043    0.000 {method 'seek' of '_io.BufferedReader' objects}
    17240    0.041    0.000    0.041    0.000 {method 'startswith' of 'str' objects}
     2842    0.041    0.000    0.061    0.000 genericpath.py:68(commonprefix)
    15721    0.040    0.000    0.040    0.000 {built-in method repr}
     2837    0.038    0.000    2.678    0.001 zipf.py:771(_update_crc)
     1963    0.038    0.000    0.136    0.000 cursor.py:290(_row_to_python)
     2846    0.038    0.000    0.057    0.000 genericpath.py:85(_splitext)
    23592    0.037    0.000    0.037    0.000 connection.py:1098(_get_getwarnings)
     5686    0.036    0.000    0.389    0.000 posixpath.py:377(abspath)
     2837    0.036    0.000    0.047    0.000 zipf.py:316(__init__)
     7997    0.035    0.000  113.615    0.014 connection.py:1195(_execute_query)
     2839    0.033    0.000    0.033    0.000 {built-in method ParserCreate}
     1963    0.032    0.000    0.035    0.000 constants.py:55(get_info)
       41    0.031    0.001    0.031    0.001 {built-in method loads}
     5674    0.030    0.000    0.058    0.000 cp866.py:14(decode)
     2837    0.029    0.000    0.029    0.000 {function ZipExtFile.close at 0xb6f85fa4}
     1963    0.028    0.000    0.095    0.000 conversion.py:242(to_python)
     5686    0.027    0.000    0.075    0.000 posixpath.py:61(isabs)
     7995    0.027    0.000  113.642    0.014 connection.py:1187(commit)
     5674    0.027    0.000    0.034    0.000 zipf.py:1069(getinfo)
     2837    0.025    0.000    0.025    0.000 {method 'flush' of 'zlib.Decompress' objects}
     8527    0.024    0.000    0.024    0.000 {built-in method max}
     2846    0.024    0.000    0.091    0.000 posixpath.py:118(splitext)
     2839    0.024    0.000    0.149    0.000 {method 'Parse' of 'pyexpat.xmlparser' objects}
     8553    0.023    0.000    0.047    0.000 posixpath.py:38(_get_sep)
    11348    0.021    0.000    0.021    0.000 {method 'read' of '_io.BytesIO' objects}
     2187    0.020    0.000    0.024    0.000 sre_parse.py:185(__next)
     5701    0.019    0.000    0.019    0.000 {method 'rfind' of 'str' objects}
     6599    0.019    0.000    0.019    0.000 {method 'join' of 'str' objects}
     2837    0.019    0.000    0.019    0.000 {built-in method decompressobj}
     5942    0.018    0.000    0.018    0.000 {built-in method min}
        7    0.018    0.003    0.018    0.003 {built-in method print}
     2837    0.018    0.000    0.037    0.000 zipf.py:608(_get_decompressor)
     2858    0.015    0.000    0.031    0.000 posixpath.py:71(join)
     2842    0.012    0.000    0.012    0.000 posixpath.py:470(<listcomp>)
     1963    0.012    0.000    0.012    0.000 conversion.py:287(_LONG_to_python)
     2842    0.012    0.000    0.012    0.000 posixpath.py:471(<listcomp>)
    74/22    0.012    0.000    0.049    0.002 sre_parse.py:431(_parse)
      761    0.011    0.000    0.015    0.000 <frozen importlib._bootstrap>:74(_path_join)
      155    0.011    0.000    0.033    0.000 <frozen importlib._bootstrap>:1352(find_loader)
      168    0.010    0.000    0.047    0.000 {built-in method __build_class__}
     2837    0.009    0.000    0.009    0.000 zipf.py:410(_decodeExtra)
     46/1    0.009    0.000    0.226    0.226 {built-in method exec}
     5858    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
        2    0.007    0.003    0.015    0.008 sre_compile.py:302(_optimize_unicode)
     4461    0.007    0.000    0.007    0.000 cursor.py:143(lastrowid)
     2013    0.006    0.000    0.028    0.000 sre_parse.py:210(get)
     2961    0.006    0.000    0.006    0.000 {built-in method chr}
      790    0.006    0.000    0.038    0.000 cp1251.py:14(decode)
     3196    0.006    0.000    0.006    0.000 {built-in method hasattr}
     2877    0.006    0.000    0.006    0.000 {method 'find' of 'str' objects}
      512    0.005    0.000    0.005    0.000 {method 'setdefault' of 'dict' objects}
      293    0.005    0.000    0.005    0.000 {built-in method stat}
   132/20    0.004    0.000    0.017    0.001 sre_compile.py:33(_compile)
     2006    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
     1963    0.003    0.000    0.003    0.000 cursor.py:106(description)
   178/74    0.003    0.000    0.003    0.000 sre_parse.py:142(getwidth)
        1    0.003    0.003    0.010    0.010 configparser.py:986(_read)
      808    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:486(_verbose_message)
       57    0.002    0.000    0.042    0.001 <frozen importlib._bootstrap>:1473(_find_module)
      506    0.002    0.000    0.004    0.000 sre_parse.py:132(__getitem__)
       41    0.002    0.000    0.050    0.001 <frozen importlib._bootstrap>:1031(get_data)
       56    0.002    0.000    0.037    0.001 <frozen importlib._bootstrap>:1278(_get_loader)
       36    0.002    0.000    0.018    0.001 sre_compile.py:208(_optimize_charset)
        1    0.002    0.002    0.002    0.002 zipf.py:460(_GenerateCRCTable)
      184    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:86(_path_split)
       41    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:804(_bytes_from_bytecode)
       15    0.002    0.000    0.002    0.000 sre_compile.py:259(_mk_bitmap)
       41    0.002    0.000    0.089    0.002 <frozen importlib._bootstrap>:935(get_code)
     41/9    0.001    0.000    0.353    0.039 <frozen importlib._bootstrap>:850(_load_module)
     57/9    0.001    0.000    0.357    0.040 <frozen importlib._bootstrap>:1509(_find_and_load_unlocked)
       79    0.001    0.000    0.004    0.000 codecs.py:509(readline)
       82    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:415(cache_from_source)
       82    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:796(is_package)
    220/9    0.001    0.000    0.354    0.039 <frozen importlib._bootstrap>:581(_check_name_wrapper)
       67    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:266(_get_module_lock)
    65/20    0.001    0.000    0.049    0.002 sre_parse.py:353(_parse_sub)
       42    0.001    0.000    0.002    0.000 codecs.py:429(read)
      397    0.001    0.000    0.003    0.000 sre_parse.py:204(match)
     25/6    0.001    0.000    0.003    0.000 abc.py:191(__subclasscheck__)
