Извлечение обложек - отключено
В Индексе таблицы каталогов отсутсвует 'path'

[root@dsgate py]# ../speed
books   books_min
2841    843.8614

Books added      :  2841
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  3  minutes,  22  seconds.
         9935229 function calls (9841414 primitive calls) in 202.813 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   519685  112.498    0.000  112.498    0.000 {method 'recv' of '_socket.socket' objects}
     2837   21.110    0.007   21.110    0.007 {method 'decompress' of 'zlib.Decompress' objects}
     8573   10.719    0.001   10.719    0.001 {method 'read' of '_io.BufferedReader' objects}
   103937    4.686    0.000  118.021    0.001 network.py:167(recv_plain)
     2839    4.627    0.002   16.633    0.006 sopdsparse.py:181(parse)
   234603    2.677    0.000    4.593    0.000 sopdsparse.py:171(char_data)
     5674    2.592    0.000    2.592    0.000 {built-in method crc32}
   263091    2.295    0.000    3.835    0.000 utils.py:31(intread)
    55183    2.021    0.000    2.021    0.000 {method 'sendall' of '_socket.socket' objects}
  1173015    1.858    0.000    1.916    0.000 sopdsparse.py:35(setvalue)
   751739    1.831    0.000    1.832    0.000 {built-in method isinstance}
   478500    1.699    0.000    1.699    0.000 sopdsparse.py:19(tagopen)
    23592    1.697    0.000    5.497    0.000 cursor.py:263(_process_params)
    95700    1.517    0.000    3.315    0.000 sopdsparse.py:118(start_element)
    92861    1.417    0.000    2.485    0.000 sopdsparse.py:140(end_element)
   259130    1.333    0.000    5.097    0.000 utils.py:241(read_int)
    23592    1.076    0.000   36.396    0.002 cursor.py:363(execute)
1170945/1170874    1.058    0.000    1.058    0.000 {built-in method len}
    39584    1.024    0.000    4.243    0.000 protocol.py:131(parse_ok)
    23592    0.945    0.000    1.260    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    55181    0.928    0.000  119.977    0.002 connection.py:381(_send_cmd)
   464305    0.927    0.000    0.927    0.000 sopdsparse.py:30(tagclose)
5677/2841    0.903    0.000  194.569    0.068 sopds-scan.py:91(processfile)
    94765    0.890    0.000    1.036    0.000 utils.py:254(read_lc_int)
    15597    0.886    0.000    2.868    0.000 protocol.py:155(parse_column)
    72755    0.767    0.000    1.697    0.000 conversion.py:126(to_mysql)
    31589    0.763    0.000    9.328    0.000 connection.py:492(_handle_result)
    55183    0.744    0.000    1.184    0.000 network.py:40(_prepare_packets)
   301924    0.722    0.000    0.722    0.000 {built-in method unpack}
   234603    0.718    0.000    5.310    0.000 pyexpat.c:372(CharacterData)
    72755    0.648    0.000    1.168    0.000 conversion.py:82(escape)
    55183    0.634    0.000    3.838    0.000 network.py:93(send_plain)
    72755    0.575    0.000    0.936    0.000 conversion.py:110(quote)
   165553    0.475    0.000    0.475    0.000 {built-in method pack}
    93582    0.456    0.000    0.456    0.000 utils.py:137(read_lc_string)
    95700    0.426    0.000    3.742    0.000 pyexpat.c:497(StartElement)
    23592    0.371    0.000    9.489    0.000 connection.py:1147(cursor)
    70778    0.366    0.000    0.556    0.000 connection.py:432(_toggle_have_next_result)
 90022/17    0.349    0.000    0.001    0.000 pyexpat.c:549(EndElement)
    31589    0.348    0.000  124.395    0.004 connection.py:576(cmd_query)
    39584    0.342    0.000    4.905    0.000 connection.py:442(_handle_ok)
    47184    0.334    0.000    0.401    0.000 cursor.py:194(_reset_result)
    31194    0.319    0.000    1.613    0.000 protocol.py:183(parse_eof)
   279830    0.317    0.000    0.317    0.000 {method 'lower' of 'str' objects}
   104358    0.315    0.000    0.315    0.000 {method 'encode' of 'str' objects}
    72755    0.315    0.000    0.315    0.000 cursor.py:45(__call__)
    85980    0.298    0.000    0.381    0.000 connection.py:1010(_set_unread_result)
    75400    0.297    0.000    0.297    0.000 {method 'format' of 'str' objects}
   266472    0.276    0.000    0.276    0.000 {method 'replace' of 'bytes' objects}
    23592    0.275    0.000    3.781    0.000 cursor.py:323(_handle_result)
    55182    0.231    0.000    0.593    0.000 protocol.py:95(make_command)
    23592    0.230    0.000    0.507    0.000 cursor.py:167(__init__)
    15597    0.228    0.000    2.383    0.000 protocol.py:215(read_text_result)
     2837    0.215    0.000   34.546    0.012 zipf.py:811(_read1)
    15597    0.212    0.000    3.316    0.000 cursor.py:750(_handle_resultset)
    15597    0.201    0.000    2.789    0.000 connection.py:530(get_rows)
    75239    0.200    0.000    0.200    0.000 {built-in method getattr}
    55184    0.197    0.000    0.361    0.000 utils.py:48(int1store)
    70778    0.190    0.000    0.190    0.000 constants.py:32(flag_is_set)
     2841    0.183    0.000    0.183    0.000 {built-in method open}
    23592    0.180    0.000    0.687    0.000 cursor.py:745(__init__)
    44412    0.168    0.000    0.283    0.000 conversion.py:139(_str_to_mysql)
    23592    0.166    0.000    0.528    0.000 cursor.py:228(close)
     5686    0.161    0.000    0.270    0.000 posixpath.py:340(normpath)
    15597    0.149    0.000    0.243    0.000 cursor.py:625(_handle_eof)
     2837    0.148    0.000    0.751    0.000 zipf.py:1110(open)
    23592    0.146    0.000    8.343    0.000 connection.py:735(cmd_ping)
    21273    0.144    0.000    0.198    0.000 {method 'decode' of 'bytes' objects}
   117963    0.142    0.000    0.142    0.000 connection.py:1022(_get_unread_result)
    23592    0.139    0.000    0.196    0.000 cursor.py:187(_set_connection)
        1    0.136    0.136    0.281    0.281 zipf.py:960(_RealGetContents)
     2841    0.130    0.000   53.075    0.019 sopdsdb.py:130(addbook)
    15597    0.130    0.000    1.049    0.000 connection.py:459(_handle_eof)
   108289    0.130    0.000    0.130    0.000 {method 'append' of 'list' objects}
    23592    0.129    0.000    0.215    0.000 connection.py:931(charset)
    15597    0.127    0.000    0.127    0.000 cursor.py:763(_fetch_row)
     5682    0.122    0.000   10.911    0.002 sopdsdb.py:94(findbook)
     2840    0.117    0.000    0.117    0.000 {method 'close' of '_io.BufferedReader' objects}
    15597    0.112    0.000    0.278    0.000 protocol.py:151(parse_column_count)
     2842    0.109    0.000    0.637    0.000 posixpath.py:452(relpath)
    23592    0.104    0.000    0.132    0.000 cursor.py:205(_have_unread_result)
       15    0.093    0.006    0.096    0.006 {built-in method load_dynamic}
     3534    0.093    0.000   57.470    0.016 sopdsdb.py:215(addbauthor)
    23592    0.088    0.000    0.109    0.000 cursor.py:54(remaining)
    23592    0.088    0.000    8.431    0.000 connection.py:765(is_connected)
     3534    0.088    0.000   11.011    0.003 sopdsdb.py:179(findauthor)
    28343    0.088    0.000    0.088    0.000 conversion.py:130(_int_to_mysql)
    23594    0.086    0.000    0.086    0.000 constants.py:675(get_info)
     2837    0.084    0.000    0.133    0.000 zipf.py:639(__init__)
    23592    0.082    0.000    0.082    0.000 cursor.py:41(__init__)
     5680    0.082    0.000    0.142    0.000 sopdsparse.py:106(reset)
    23592    0.081    0.000    0.081    0.000 cursor.py:67(__init__)
       41    0.076    0.002    0.076    0.002 {method 'read' of '_io.FileIO' objects}
     1963    0.075    0.000    0.078    0.000 utils.py:189(read_lc_string_list)
     3534    0.072    0.000    6.470    0.002 sopdsdb.py:192(findbauthor)
    15597    0.068    0.000    0.323    0.000 cursor.py:661(fetchone)
     3534    0.068    0.000   31.469    0.009 sopdsdb.py:202(addauthor)
    47184    0.067    0.000    0.067    0.000 cursor.py:760(reset)
    15778    0.067    0.000    0.067    0.000 {method 'strip' of 'str' objects}
    28400    0.060    0.000    0.060    0.000 sopdsparse.py:14(reset)
     7995    0.058    0.000    0.070    0.000 cursor.py:306(_handle_noresultset)
    23630    0.057    0.000    0.057    0.000 {built-in method proxy}
     6469    0.056    0.000    0.056    0.000 {built-in method charmap_decode}
     2841    0.056    0.000    6.122    0.002 sopdsdb.py:107(finddouble)
    50230    0.055    0.000    0.055    0.000 sopdsparse.py:39(getvalue)
    11380    0.053    0.000    0.053    0.000 {method 'split' of 'str' objects}
     2837    0.052    0.000   10.562    0.004 zipf.py:847(_read2)
     2837    0.044    0.000    0.189    0.000 zipf.py:861(close)
     2841    0.043    0.000    0.043    0.000 {method 'seek' of '_io.BufferedReader' objects}
     2837    0.043    0.000   34.589    0.012 zipf.py:738(read)
    17240    0.041    0.000    0.041    0.000 {method 'startswith' of 'str' objects}
     2842    0.041    0.000    0.060    0.000 genericpath.py:68(commonprefix)
    15721    0.036    0.000    0.036    0.000 {built-in method repr}
     1963    0.036    0.000    0.128    0.000 cursor.py:290(_row_to_python)
     2846    0.036    0.000    0.055    0.000 genericpath.py:85(_splitext)
    23592    0.036    0.000    0.036    0.000 connection.py:1098(_get_getwarnings)
     2837    0.035    0.000    0.046    0.000 zipf.py:316(__init__)
     5686    0.034    0.000    0.378    0.000 posixpath.py:377(abspath)
     2837    0.033    0.000    2.616    0.001 zipf.py:771(_update_crc)
     7997    0.033    0.000  100.546    0.013 connection.py:1195(_execute_query)
     2839    0.032    0.000    0.032    0.000 {built-in method ParserCreate}
       41    0.031    0.001    0.031    0.001 {built-in method loads}
     1963    0.031    0.000    0.090    0.000 conversion.py:242(to_python)
     7995    0.029    0.000  100.574    0.013 connection.py:1187(commit)
     5674    0.028    0.000    0.035    0.000 zipf.py:1069(getinfo)
     2837    0.027    0.000    0.027    0.000 {function ZipExtFile.close at 0xb6f8cfa4}
     5686    0.027    0.000    0.074    0.000 posixpath.py:61(isabs)
     5674    0.025    0.000    0.052    0.000 cp866.py:14(decode)
     1963    0.025    0.000    0.028    0.000 constants.py:55(get_info)
     2837    0.024    0.000    0.024    0.000 {method 'flush' of 'zlib.Decompress' objects}
     8527    0.024    0.000    0.024    0.000 {built-in method max}
     2839    0.024    0.000    0.144    0.000 {method 'Parse' of 'pyexpat.xmlparser' objects}
     8553    0.023    0.000    0.048    0.000 posixpath.py:38(_get_sep)
     2846    0.021    0.000    0.086    0.000 posixpath.py:118(splitext)
     2187    0.020    0.000    0.025    0.000 sre_parse.py:185(__next)
    11348    0.020    0.000    0.020    0.000 {method 'read' of '_io.BytesIO' objects}
     5701    0.019    0.000    0.019    0.000 {method 'rfind' of 'str' objects}
     2837    0.019    0.000    0.019    0.000 {built-in method decompressobj}
     6599    0.019    0.000    0.019    0.000 {method 'join' of 'str' objects}
     5942    0.018    0.000    0.018    0.000 {built-in method min}
     2837    0.016    0.000    0.035    0.000 zipf.py:608(_get_decompressor)
     2858    0.015    0.000    0.031    0.000 posixpath.py:71(join)
     1963    0.013    0.000    0.013    0.000 conversion.py:287(_LONG_to_python)
    74/22    0.012    0.000    0.050    0.002 sre_parse.py:431(_parse)
     2842    0.012    0.000    0.012    0.000 posixpath.py:470(<listcomp>)
     2842    0.012    0.000    0.012    0.000 posixpath.py:471(<listcomp>)
      761    0.011    0.000    0.015    0.000 <frozen importlib._bootstrap>:74(_path_join)
        7    0.011    0.002    0.011    0.002 {built-in method print}
      155    0.011    0.000    0.033    0.000 <frozen importlib._bootstrap>:1352(find_loader)
      168    0.010    0.000    0.047    0.000 {built-in method __build_class__}
     46/1    0.009    0.000    0.427    0.427 {built-in method exec}
     2837    0.009    0.000    0.009    0.000 zipf.py:410(_decodeExtra)
     5858    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
        2    0.007    0.004    0.016    0.008 sre_compile.py:302(_optimize_unicode)
     2013    0.007    0.000    0.029    0.000 sre_parse.py:210(get)
     4461    0.007    0.000    0.007    0.000 cursor.py:143(lastrowid)
     3196    0.006    0.000    0.006    0.000 {built-in method hasattr}
     2961    0.006    0.000    0.006    0.000 {built-in method chr}
     2877    0.005    0.000    0.005    0.000 {method 'find' of 'str' objects}
      790    0.005    0.000    0.034    0.000 cp1251.py:14(decode)
      512    0.005    0.000    0.005    0.000 {method 'setdefault' of 'dict' objects}
