Извлечение обложек - включено
В Индексе таблицы каталогов отсутсвует 'path'

[root@dsgate py]# ../speed
books   books_min
2841    223.9947

Error extract cover from file: 271403.fb2

Books added      :  2841
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  12  minutes,  40  seconds.
         123559147 function calls (112906817 primitive calls) in 760.828 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   562255  136.282    0.000  136.282    0.000 {method 'recv' of '_socket.socket' objects}
     2839  123.951    0.044  544.392    0.192 sopdsparse.py:181(parse)
 17774890   90.765    0.000  149.299    0.000 sopdsparse.py:171(char_data)
 17774890   53.211    0.000  202.510    0.000 pyexpat.c:372(CharacterData)
 17774890   48.480    0.000   56.597    0.000 sopdsparse.py:85(add_data)
  5642958   42.670    0.000   79.178    0.000 sopdsparse.py:140(end_element)
  5645708   38.104    0.000   86.805    0.000 sopdsparse.py:118(start_element)
  6219487   25.477    0.000   25.477    0.000 sopdsparse.py:19(tagopen)
     2837   21.339    0.008   21.339    0.008 {method 'decompress' of 'zlib.Decompress' objects}
5645701/635027   21.044    0.000   12.132    0.000 pyexpat.c:497(StartElement)
5640243/2280   20.363    0.000    0.039    0.000 pyexpat.c:549(EndElement)
  5645701   17.412    0.000   40.893    0.000 sopdsparse.py:64(tagopen)
  5642958   16.980    0.000   29.022    0.000 sopdsparse.py:74(tagclose)
  6199542   13.196    0.000   13.196    0.000 sopdsparse.py:30(tagclose)
 11394345   12.157    0.000   12.157    0.000 {method 'lower' of 'str' objects}
     8573   11.545    0.001   11.545    0.001 {method 'read' of '_io.BufferedReader' objects}
     2839    8.848    0.003   34.101    0.012 {method 'Parse' of 'pyexpat.xmlparser' objects}
   112451    5.190    0.000  142.395    0.001 network.py:167(recv_plain)
  1983791    4.546    0.000    4.546    0.000 {method 'strip' of 'str' objects}
  1981490    3.682    0.000    3.682    0.000 {built-in method repr}
     5674    2.596    0.000    2.596    0.000 {built-in method crc32}
   288633    2.546    0.000    4.262    0.000 utils.py:31(intread)
    63697    2.430    0.000    2.430    0.000 {method 'sendall' of '_socket.socket' objects}
   829889    2.042    0.000    2.043    0.000 {built-in method isinstance}
    26430    1.880    0.000    6.172    0.000 cursor.py:263(_process_params)
  1172755    1.878    0.000    1.937    0.000 sopdsparse.py:35(setvalue)
   284672    1.473    0.000    5.663    0.000 utils.py:241(read_int)
     2117    1.372    0.001    1.372    0.001 {built-in method a2b_base64}
    48098    1.260    0.000    5.233    0.000 protocol.py:131(parse_ok)
1297721/1297650    1.198    0.000    1.198    0.000 {built-in method len}
    26430    1.189    0.000   40.946    0.002 cursor.py:363(execute)
    63695    1.087    0.000  145.346    0.002 connection.py:381(_send_cmd)
    26430    1.062    0.000    1.415    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   111793    1.059    0.000    1.219    0.000 utils.py:254(read_lc_int)
5560/2841    0.984    0.000  752.740    0.265 sopds-scan.py:91(processfile)
    15597    0.886    0.000    2.884    0.000 protocol.py:155(parse_column)
    63697    0.880    0.000    1.380    0.000 network.py:40(_prepare_packets)
    81269    0.845    0.000    1.914    0.000 conversion.py:126(to_mysql)
    37265    0.797    0.000   10.168    0.000 connection.py:492(_handle_result)
   327466    0.794    0.000    0.794    0.000 {built-in method unpack}
    81269    0.740    0.000    1.341    0.000 conversion.py:82(escape)
    63697    0.715    0.000    4.524    0.000 network.py:93(send_plain)
    81269    0.633    0.000    1.036    0.000 conversion.py:110(quote)
   191095    0.543    0.000    0.543    0.000 {built-in method pack}
    96420    0.478    0.000    0.478    0.000 utils.py:137(read_lc_string)
     4958    0.461    0.000    0.461    0.000 {built-in method open}
     2116    0.434    0.000    0.434    0.000 {method 'write' of '_io.BufferedWriter' objects}
    48098    0.433    0.000    6.046    0.000 connection.py:442(_handle_ok)
   120665    0.430    0.000    0.430    0.000 {method 'encode' of 'str' objects}
    26430    0.426    0.000   10.778    0.000 connection.py:1147(cursor)
    52860    0.415    0.000    0.495    0.000 cursor.py:194(_reset_result)
    37265    0.414    0.000  149.956    0.004 connection.py:576(cmd_query)
    79292    0.399    0.000    0.605    0.000 connection.py:432(_toggle_have_next_result)
    81269    0.353    0.000    0.353    0.000 cursor.py:45(__call__)
    83914    0.344    0.000    0.344    0.000 {method 'format' of 'str' objects}
   300528    0.328    0.000    0.328    0.000 {method 'replace' of 'bytes' objects}
    31194    0.325    0.000    1.630    0.000 protocol.py:183(parse_eof)
    26430    0.306    0.000    3.798    0.000 cursor.py:323(_handle_result)
    88818    0.295    0.000    0.377    0.000 connection.py:1010(_set_unread_result)
    26430    0.286    0.000    0.610    0.000 cursor.py:167(__init__)
    63698    0.273    0.000    0.462    0.000 utils.py:48(int1store)
    63696    0.266    0.000    0.727    0.000 protocol.py:95(make_command)
    83753    0.232    0.000    0.232    0.000 {built-in method getattr}
     2837    0.228    0.000   35.599    0.013 zipf.py:811(_read1)
    15597    0.226    0.000    2.375    0.000 protocol.py:215(read_text_result)
    79292    0.207    0.000    0.207    0.000 constants.py:32(flag_is_set)
    15597    0.201    0.000    2.774    0.000 connection.py:530(get_rows)
    15597    0.193    0.000    3.267    0.000 cursor.py:750(_handle_resultset)
    50088    0.191    0.000    0.321    0.000 conversion.py:139(_str_to_mysql)
    26430    0.191    0.000    0.800    0.000 cursor.py:745(__init__)
    26430    0.171    0.000    0.590    0.000 cursor.py:228(close)
   132153    0.165    0.000    0.165    0.000 connection.py:1022(_get_unread_result)
     5686    0.160    0.000    0.269    0.000 posixpath.py:340(normpath)
    24111    0.156    0.000    0.211    0.000 {method 'decode' of 'bytes' objects}
     2837    0.155    0.000    0.781    0.000 zipf.py:1110(open)
    26430    0.154    0.000    9.452    0.000 connection.py:735(cmd_ping)
    26430    0.153    0.000    0.214    0.000 cursor.py:187(_set_connection)
    15597    0.140    0.000    0.230    0.000 cursor.py:625(_handle_eof)
   116796    0.139    0.000    0.139    0.000 {method 'append' of 'list' objects}
     2839    0.138    0.000   40.882    0.014 sopds-scan.py:62(create_cover)
